Year,Ceremony,Award,Winner,Name,Film
2013,86,Film Editing,1,Gravity ,Alfonso Cuarón and Mark Sanger
2013,86,Film Editing,,12 Years a Slave ,Joe Walker
2013,86,Foreign Language Film,,The Broken Circle Breakdown ,Belgium
2013,86,Foreign Language Film,1,The Great Beauty ,Italy
2013,86,Foreign Language Film,,The Hunt ,Denmark
2013,86,Foreign Language Film,,The Missing Picture ,Cambodia
2013,86,Foreign Language Film,,Omar ,Palestine
2013,86,Makeup and Hairstyling,1,Dallas Buyers Club ,Adruitha Lee and Robin Mathews
2013,86,Makeup and Hairstyling,,Jackass Presents: Bad Grandpa ,Stephen Prouty
2013,86,Makeup and Hairstyling,,The Lone Ranger ,Joel Harlow and Gloria Pasqua-Casny
2013,86,Music (Original Score),,The Book Thief ,John Williams
2013,86,Music (Original Score),1,Gravity ,Steven Price
2013,86,Music (Original Score),,Her ,William Butler and Owen Pallett
2013,86,Music (Original Score),,Philomena ,Alexandre Desplat
2013,86,Music (Original Score),,Saving Mr. Banks ,Thomas Newman
2013,86,Music (Original Song),,"""Alone Yet Not Alone"" from Alone Yet Not Alone",Music by Bruce Broughton; Lyric by Dennis Spiegel
2013,86,Music (Original Song),,"""Happy"" from Despicable Me 2",Music and Lyric by Pharrell Williams
2013,86,Music (Original Song),1,"""Let It Go"" from Frozen",Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
2013,86,Music (Original Song),,"""The Moon Song"" from Her",Music by Karen O; Lyric by Karen O and Spike Jonze
2013,86,Music (Original Song),,"""Ordinary Love"" from Mandela: Long Walk to Freedom","Music by Paul Hewson, Dave Evans, Adam Clayton and Larry Mullen; Lyric by Paul Hewson"
2013,86,Best Picture,,American Hustle ,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers"
2013,86,Best Picture,,Captain Phillips ,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers"
2013,86,Best Picture,,Dallas Buyers Club ,"Robbie Brenner and Rachel Winter, Producers"
2013,86,Best Picture,,Gravity ,"Alfonso Cuarón and David Heyman, Producers"
2013,86,Best Picture,,Her ,"Megan Ellison, Spike Jonze and Vincent Landay, Producers"
2013,86,Best Picture,,Nebraska ,"Albert Berger and Ron Yerxa, Producers"
2013,86,Best Picture,,Philomena ,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers"
2013,86,Best Picture,1,12 Years a Slave ,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
2013,86,Best Picture,,The Wolf of Wall Street ,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers"
2013,86,Production Design,,American Hustle ,Production Design: Judy Becker; Set Decoration: Heather Loeffler
2013,86,Production Design,,Gravity ,Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard
2013,86,Production Design,1,The Great Gatsby ,Production Design: Catherine Martin; Set Decoration: Beverley Dunn
2013,86,Production Design,,Her ,Production Design: K.K. Barrett; Set Decoration: Gene Serdena
2013,86,Production Design,,12 Years a Slave ,Production Design: Adam Stockhausen; Set Decoration: Alice Baker
2013,86,Short Film (Animated),,Feral ,Daniel Sousa and Dan Golden
2013,86,Short Film (Animated),,Get a Horse! ,Lauren MacMullan and Dorothy McKim
2013,86,Short Film (Animated),1,Mr. Hublot ,Laurent Witz and Alexandre Espigares
2013,86,Short Film (Animated),,Possessions ,Shuhei Morita
2013,86,Short Film (Animated),,Room on the Broom ,Max Lang and Jan Lachauer
2013,86,Short Film (Live Action),,Aquel No Era Yo (That Wasn't Me) ,Esteban Crespo
2013,86,Short Film (Live Action),,Avant Que De Tout Perdre (Just before Losing Everything) ,Xavier Legrand and Alexandre Gavras
2013,86,Short Film (Live Action),1,Helium ,Anders Walter and Kim Magnusson
2013,86,Short Film (Live Action),,Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?) ,Selma Vilhunen and Kirsikka Saari
2013,86,Short Film (Live Action),,The Voorman Problem ,Mark Gill and Baldwin Li
2013,86,Sound Editing,,All Is Lost ,Steve Boeddeker and Richard Hymns
2013,86,Sound Editing,,Captain Phillips ,Oliver Tarney
2013,86,Sound Editing,1,Gravity ,Glenn Freemantle
2013,86,Sound Editing,,The Hobbit: The Desolation of Smaug ,Brent Burge and Chris Ward
2013,86,Sound Editing,,Lone Survivor ,Wylie Stateman
2013,86,Sound Mixing,,Captain Phillips ,"Chris Burdon, Mark Taylor, Mike Prestwood Smith and Chris Munro"
2013,86,Sound Mixing,1,Gravity ,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro"
2013,86,Sound Mixing,,The Hobbit: The Desolation of Smaug ,"Christopher Boyes, Michael Hedges, Michael Semanick and Tony Johnson"
2013,86,Sound Mixing,,Inside Llewyn Davis ,"Skip Lievsay, Greg Orloff and Peter F. Kurland"
2013,86,Sound Mixing,,Lone Survivor ,"Andy Koyama, Beau Borders and David Brownlow"
2013,86,Visual Effects,1,Gravity ,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould"
2013,86,Visual Effects,,The Hobbit: The Desolation of Smaug ,"Joe Letteri, Eric Saindon, David Clayton and Eric Reynolds"
2013,86,Visual Effects,,Iron Man 3 ,"Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick"
2013,86,Visual Effects,,The Lone Ranger ,"Tim Alexander, Gary Brozenich, Edson Williams and John Frazier"
2013,86,Visual Effects,,Star Trek Into Darkness ,"Roger Guyett, Patrick Tubach, Ben Grossmann and Burt Dalton"
2013,86,Writing (Adapted Screenplay),,Before Midnight ,"Written by Richard Linklater, Julie Delpy, Ethan Hawke"
2013,86,Writing (Adapted Screenplay),,Captain Phillips ,Screenplay by Billy Ray
2013,86,Writing (Adapted Screenplay),,Philomena ,Screenplay by Steve Coogan and Jeff Pope
2013,86,Writing (Adapted Screenplay),1,12 Years a Slave ,Screenplay by John Ridley
2013,86,Writing (Adapted Screenplay),,The Wolf of Wall Street ,Screenplay by Terence Winter
2013,86,Writing (Original Screenplay),,American Hustle ,Written by Eric Warren Singer and David O. Russell
2013,86,Writing (Original Screenplay),,Blue Jasmine ,Written by Woody Allen
2013,86,Writing (Original Screenplay),,Dallas Buyers Club ,Written by Craig Borten & Melisa Wallack
2013,86,Writing (Original Screenplay),1,Her ,Written by Spike Jonze
2013,86,Writing (Original Screenplay),,Nebraska ,Written by Bob Nelson
2013,86,Jean Hersholt Humanitarian Award,1,Angelina Jolie,
2013,86,Honorary Award,1,Angela Lansbury,
2013,86,Honorary Award,1,Steve Martin,
2013,86,Honorary Award,1,Piero Tosi,
2013,86,Gordon E. Sawyer Award,1,Peter W. Anderson,
2013,86,John A. Bonner Medal of Commendation,1,"Charles ""Tad"" Marburg",
2014,87,Actor in a Leading Role,,Steve Carell,Foxcatcher
2014,87,Actor in a Leading Role,,Bradley Cooper,American Sniper
2014,87,Actor in a Leading Role,,Benedict Cumberbatch,The Imitation Game
2014,87,Actor in a Leading Role,,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
2014,87,Actor in a Leading Role,1,Eddie Redmayne,The Theory of Everything
2014,87,Actor in a Supporting Role,,Robert Duvall,The Judge
2014,87,Actor in a Supporting Role,,Ethan Hawke,Boyhood
2014,87,Actor in a Supporting Role,,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance)
2014,87,Actor in a Supporting Role,,Mark Ruffalo,Foxcatcher
2014,87,Actor in a Supporting Role,1,J.K. Simmons,Whiplash
2014,87,Actress in a Leading Role,,Marion Cotillard,"Two Days, One Night"
2014,87,Actress in a Leading Role,,Felicity Jones,The Theory of Everything
2014,87,Actress in a Leading Role,1,Julianne Moore,Still Alice
2014,87,Actress in a Leading Role,,Rosamund Pike,Gone Girl
2014,87,Actress in a Leading Role,,Reese Witherspoon,Wild
2014,87,Actress in a Supporting Role,1,Patricia Arquette,Boyhood
2014,87,Actress in a Supporting Role,,Laura Dern,Wild
2014,87,Actress in a Supporting Role,,Keira Knightley,The Imitation Game
2014,87,Actress in a Supporting Role,,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)
2014,87,Actress in a Supporting Role,,Meryl Streep,Into the Woods
2014,87,Animated Feature Film,1,Big Hero 6 ,"Don Hall, Chris Williams and Roy Conli"
2014,87,Animated Feature Film,,The Boxtrolls ,"Anthony Stacchi, Graham Annable and Travis Knight"
2014,87,Animated Feature Film,,How to Train Your Dragon 2 ,Dean DeBlois and Bonnie Arnold
2014,87,Animated Feature Film,,Song of the Sea ,Tomm Moore and Paul Young
2014,87,Animated Feature Film,,The Tale of the Princess Kaguya ,Isao Takahata and Yoshiaki Nishimura
2014,87,Cinematography,1,Birdman or (The Unexpected Virtue of Ignorance) ,Emmanuel Lubezki
2014,87,Cinematography,,The Grand Budapest Hotel ,Robert Yeoman
2014,87,Cinematography,,Ida ,Lukasz Zal and Ryszard Lenczewski
2014,87,Cinematography,,Mr. Turner ,Dick Pope
2014,87,Cinematography,,Unbroken ,Roger Deakins
2014,87,Costume Design,1,The Grand Budapest Hotel ,Milena Canonero
2014,87,Costume Design,,Inherent Vice ,Mark Bridges
2014,87,Costume Design,,Into the Woods ,Colleen Atwood
2014,87,Costume Design,,Maleficent ,Anna B. Sheppard
2014,87,Costume Design,,Mr. Turner ,Jacqueline Durran
2014,87,Directing,1,Birdman or (The Unexpected Virtue of Ignorance) ,Alejandro G. Iñárritu
2014,87,Directing,,Boyhood ,Richard Linklater
2014,87,Directing,,Foxcatcher ,Bennett Miller
2014,87,Directing,,The Grand Budapest Hotel ,Wes Anderson
2014,87,Directing,,The Imitation Game ,Morten Tyldum
2014,87,Documentary (Feature),1,CitizenFour ,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky"
2014,87,Documentary (Feature),,Finding Vivian Maier ,John Maloof and Charlie Siskel
2014,87,Documentary (Feature),,Last Days in Vietnam ,Rory Kennedy and Keven McAlester
2014,87,Documentary (Feature),,The Salt of the Earth ,"Wim Wenders, Juliano Ribeiro Salgado and David Rosier"
2014,87,Documentary (Feature),,Virunga ,Orlando von Einsiedel and Joanna Natasegara
2014,87,Documentary (Short Subject),1,Crisis Hotline: Veterans Press 1 ,Ellen Goosenberg Kent and Dana Perry
2014,87,Documentary (Short Subject),,Joanna ,Aneta Kopacz
2014,87,Documentary (Short Subject),,Our Curse ,Tomasz Sliwinski and Maciej Slesicki
2014,87,Documentary (Short Subject),,The Reaper (La Parka) ,Gabriel Serra Arguello
2014,87,Documentary (Short Subject),,White Earth ,J. Christian Jensen
2014,87,Film Editing,,American Sniper ,Joel Cox and Gary D. Roach
2014,87,Film Editing,,Boyhood ,Sandra Adair
2014,87,Film Editing,,The Grand Budapest Hotel ,Barney Pilling
2014,87,Film Editing,,The Imitation Game ,William Goldenberg
2014,87,Film Editing,1,Whiplash ,Tom Cross
2014,87,Foreign Language Film,1,Ida ,Poland
2014,87,Foreign Language Film,,Leviathan ,Russia
2014,87,Foreign Language Film,,Tangerines ,Estonia
2014,87,Foreign Language Film,,Timbuktu ,Mauritania
2014,87,Foreign Language Film,,Wild Tales ,Argentina
2014,87,Makeup and Hairstyling,,Foxcatcher ,Bill Corso and Dennis Liddiard
2014,87,Makeup and Hairstyling,1,The Grand Budapest Hotel ,Frances Hannon and Mark Coulier
2014,87,Makeup and Hairstyling,,Guardians of the Galaxy ,Elizabeth Yianni-Georgiou and David White
2014,87,Music (Original Score),1,The Grand Budapest Hotel ,Alexandre Desplat
2014,87,Music (Original Score),,The Imitation Game ,Alexandre Desplat
2014,87,Music (Original Score),,Interstellar ,Hans Zimmer
2014,87,Music (Original Score),,Mr. Turner ,Gary Yershon
2014,87,Music (Original Score),,The Theory of Everything ,Jóhann Jóhannsson
2014,87,Music (Original Song),,"""Everything Is Awesome"" from The Lego Movie",Music and Lyric by Shawn Patterson
2014,87,Music (Original Song),1,"""Glory"" from Selma",Music and Lyric by John Stephens and Lonnie Lynn
2014,87,Music (Original Song),,"""Grateful"" from Beyond the Lights",Music and Lyric by Diane Warren
2014,87,Music (Original Song),,"""I'm Not Gonna Miss You"" from Glen Campbell...I'll Be Me",Music and Lyric by Glen Campbell and Julian Raymond
2014,87,Music (Original Song),,"""Lost Stars"" from Begin Again",Music and Lyric by Gregg Alexander and Danielle Brisebois
2014,87,Best Picture,,American Sniper ,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers"
2014,87,Best Picture,1,Birdman or (The Unexpected Virtue of Ignorance) ,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
2014,87,Best Picture,,Boyhood ,"Richard Linklater and Cathleen Sutherland, Producers"
2014,87,Best Picture,,The Grand Budapest Hotel ,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers"
2014,87,Best Picture,,The Imitation Game ,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers"
2014,87,Best Picture,,Selma ,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers"
2014,87,Best Picture,,The Theory of Everything ,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers"
2014,87,Best Picture,,Whiplash ,"Jason Blum, Helen Estabrook and David Lancaster, Producers"
2014,87,Production Design,1,The Grand Budapest Hotel ,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock
2014,87,Production Design,,The Imitation Game ,Production Design: Maria Djurkovic; Set Decoration: Tatiana Macdonald
2014,87,Production Design,,Interstellar ,Production Design: Nathan Crowley; Set Decoration: Gary Fettis
2014,87,Production Design,,Into the Woods ,Production Design: Dennis Gassner; Set Decoration: Anna Pinnock
2014,87,Production Design,,Mr. Turner ,Production Design: Suzie Davies; Set Decoration: Charlotte Watts
2014,87,Short Film (Animated),,The Bigger Picture ,Daisy Jacobs and Christopher Hees
2014,87,Short Film (Animated),,The Dam Keeper ,Robert Kondo and Dice Tsutsumi
2014,87,Short Film (Animated),1,Feast ,Patrick Osborne and Kristina Reed
2014,87,Short Film (Animated),,Me and My Moulton ,Torill Kove
2014,87,Short Film (Animated),,A Single Life ,Joris Oprins
2014,87,Short Film (Live Action),,Aya ,Oded Binnun and Mihal Brezis
2014,87,Short Film (Live Action),,Boogaloo and Graham ,Michael Lennox and Ronan Blaney
2014,87,Short Film (Live Action),,Butter Lamp (La Lampe Au Beurre De Yak) ,Hu Wei and Julien Féret
2014,87,Short Film (Live Action),,Parvaneh ,Talkhon Hamzavi and Stefan Eichenberger
2014,87,Short Film (Live Action),1,The Phone Call ,Mat Kirkby and James Lucas
2014,87,Sound Editing,1,American Sniper ,Alan Robert Murray and Bub Asman
2014,87,Sound Editing,,Birdman or (The Unexpected Virtue of Ignorance) ,Martín Hernández and Aaron Glascock
2014,87,Sound Editing,,The Hobbit: The Battle of the Five Armies ,Brent Burge and Jason Canovas
2014,87,Sound Editing,,Interstellar ,Richard King
2014,87,Sound Editing,,Unbroken ,Becky Sullivan and Andrew DeCristofaro
2014,87,Sound Mixing,,American Sniper ,"John Reitz, Gregg Rudloff and Walt Martin"
2014,87,Sound Mixing,,Birdman or (The Unexpected Virtue of Ignorance) ,"Jon Taylor, Frank A. Montaño and Thomas Varga"
2014,87,Sound Mixing,,Interstellar ,"Gary A. Rizzo, Gregg Landaker and Mark Weingarten"
2014,87,Sound Mixing,,Unbroken ,"Jon Taylor, Frank A. Montaño and David Lee"
2014,87,Sound Mixing,1,Whiplash ,"Craig Mann, Ben Wilkins and Thomas Curley"
2014,87,Visual Effects,,Captain America: The Winter Soldier ,"Dan DeLeeuw, Russell Earl, Bryan Grill and Dan Sudick"
2014,87,Visual Effects,,Dawn of the Planet of the Apes ,"Joe Letteri, Dan Lemmon, Daniel Barrett and Erik Winquist"
2014,87,Visual Effects,,Guardians of the Galaxy ,"Stephane Ceretti, Nicolas Aithadi, Jonathan Fawkner and Paul Corbould"
2014,87,Visual Effects,1,Interstellar ,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher"
2014,87,Visual Effects,,X-Men: Days of Future Past ,"Richard Stammers, Lou Pecora, Tim Crosbie and Cameron Waldbauer"
2014,87,Writing (Adapted Screenplay),,American Sniper ,Written by Jason Hall
2014,87,Writing (Adapted Screenplay),1,The Imitation Game ,Written by Graham Moore
2014,87,Writing (Adapted Screenplay),,Inherent Vice ,Written for the screen by Paul Thomas Anderson
2014,87,Writing (Adapted Screenplay),,The Theory of Everything ,Screenplay by Anthony McCarten
2014,87,Writing (Adapted Screenplay),,Whiplash ,Written by Damien Chazelle
2014,87,Writing (Original Screenplay),1,Birdman or (The Unexpected Virtue of Ignorance) ,"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo"
2014,87,Writing (Original Screenplay),,Boyhood ,Written by Richard Linklater
2014,87,Writing (Original Screenplay),,Foxcatcher ,Written by E. Max Frye and Dan Futterman
2014,87,Writing (Original Screenplay),,The Grand Budapest Hotel ,Screenplay by Wes Anderson; Story by Wes Anderson & Hugo Guinness
2014,87,Writing (Original Screenplay),,Nightcrawler ,Written by Dan Gilroy
2014,87,Jean Hersholt Humanitarian Award,1,Harry Belafonte,
2014,87,Honorary Award,1,Jean-Claude Carrière,
2014,87,Honorary Award,1,Hayao Miyazaki,
2014,87,Honorary Award,1,Maureen O'Hara,
2014,87,Gordon E. Sawyer Award,1,David Winchester Gray,
2014,87,Award of Commendation,1,"Steven Tiffen, Jeff Cohen and Michael Fecik",
2015,88,Actor in a Leading Role,,Bryan Cranston,Trumbo
2015,88,Actor in a Leading Role,,Matt Damon,The Martian
2015,88,Actor in a Leading Role,1,Leonardo DiCaprio,The Revenant
2015,88,Actor in a Leading Role,,Michael Fassbender,Steve Jobs
2015,88,Actor in a Leading Role,,Eddie Redmayne,The Danish Girl
2015,88,Actor in a Supporting Role,,Christian Bale,The Big Short
2015,88,Actor in a Supporting Role,,Tom Hardy,The Revenant
2015,88,Actor in a Supporting Role,,Mark Ruffalo,Spotlight
2015,88,Actor in a Supporting Role,1,Mark Rylance,Bridge of Spies
2015,88,Actor in a Supporting Role,,Sylvester Stallone,Creed
2015,88,Actress in a Leading Role,,Cate Blanchett,Carol
2015,88,Actress in a Leading Role,1,Brie Larson,Room
2015,88,Actress in a Leading Role,,Jennifer Lawrence,Joy
2015,88,Actress in a Leading Role,,Charlotte Rampling,45 Years
2015,88,Actress in a Leading Role,,Saoirse Ronan,Brooklyn
2015,88,Actress in a Supporting Role,,Jennifer Jason Leigh,The Hateful Eight
2015,88,Actress in a Supporting Role,,Rooney Mara,Carol
2015,88,Actress in a Supporting Role,,Rachel McAdams,Spotlight
2015,88,Actress in a Supporting Role,1,Alicia Vikander,The Danish Girl
2015,88,Actress in a Supporting Role,,Kate Winslet,Steve Jobs
2015,88,Animated Feature Film,,Anomalisa,"Charlie Kaufman, Duke Johnson and Rosa Tran"
2015,88,Animated Feature Film,,Boy and the World,Alê Abreu
2015,88,Animated Feature Film,1,Inside Out,Pete Docter and Jonas Rivera
2015,88,Animated Feature Film,,Shaun the Sheep Movie,Mark Burton and Richard Starzak
2015,88,Animated Feature Film,,When Marnie Was There,Hiromasa Yonebayashi and Yoshiaki Nishimura
2015,88,Cinematography,,Carol,Ed Lachman
2015,88,Cinematography,,The Hateful Eight,Robert Richardson
2015,88,Cinematography,,Mad Max: Fury Road,John Seale
2015,88,Cinematography,,The Revenant,Emmanuel Lubezki
2015,88,Cinematography,,Sicario,Roger Deakins
2015,88,Costume Design,,Carol,Sandy Powell
2015,88,Costume Design,,Cinderella,Sandy Powell
